nickname,연인・배우자,친구,지인・동료,0_x,아이,부모님,혼자,친척・형제,기타,반려동물,고기 질이 좋아요,기본 안주가 좋아요,디저트가 맛있어요,매장이 넓어요,사진이 잘 나와요,술이 다양해요,아늑해요,양이 많아요,음료가 맛있어요,음식이 맛있어요,음악이 좋아요,인테리어가 멋져요,잡내가 적어요,재료가 신선해요,커피가 맛있어요,컨셉이 독특해요,특별한 메뉴가 있어요,건강한 맛이에요,단체모임 하기 좋아요,대화하기 좋아요,빵이 맛있어요,혼밥하기 좋아요,가격이 합리적이에요,놀거리가 많아요,매장이 청결해요,메뉴 구성이 알차요,비싼 만큼 가치있어요,친절해요,테마가 재미있어요,화장실이 깨끗해요,맛있어요,신선해요,집중하기 좋아요,반찬이 잘 나와요,현지 맛에 가까워요,0_x,뷰가 좋아요,오래 머무르기 좋아요,종류가 다양해요,차분한 분위기에요,독특한 책이 많아요,베스트셀러가 많아요,시설이 깔끔해요,음식이 빨리 나와요,주차하기 편해요,직접 잘 구워줘요,카페 같은 분위기에요,특별한 날 가기 좋아요,혼술하기 좋아요,주문제작을 잘해줘요,야외공간이 멋져요,좌석이 편해요,감각적이에요,꽃 조합이 예뻐요,포장이 정성스러워요,차가 맛있어요,코스요리가 알차요,포장이 깔끔해요,반려동물과 가기 좋아요,라이브공연이 훌륭해요,룸이 잘 되어있어요,부위가 다양해요,원산지 표시가 명확해요,특색 있는 제품이 많아요,식사하기 좋아요,아이와 가기 좋아요,샐러드바가 잘 되어있어요,클럽하우스가 잘 되어있어요,필드 상태가 좋아요,깨끗해요,방음이 잘돼요,조용히 쉬기 좋아요,산책로가 잘 되어있어요,품질이 좋아요,향신료가 강하지 않아요,규모가 커요,방문객이 많아요,술집,식당,카페,예약 없이 이용,예약 후 이용,0_y,30,45,60,120
아암마시따,22,28,4,0,0,0,0,0,0,0,10,2,17,4,4,4,4,11,13,25,4,12,4,7,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,4,46,4,46,4,0,0,0
밍닝몽,19,16,0,15,0,0,0,0,0,0,2,2,13,17,0,2,0,22,14,30,0,8,0,9,15,0,14,2,8,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,5,31,4,35,0,0,0,0
후암동 올리,24,17,9,2,22,6,5,0,0,0,11,3,1,3,0,11,15,4,1,34,2,7,5,17,3,2,11,9,0,2,3,0,2,2,10,5,4,24,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,4,35,11,44,0,2,0,0
Junns,26,14,2,5,0,0,3,0,0,0,6,0,10,12,8,0,7,21,14,32,0,16,0,12,12,0,19,2,13,8,2,3,0,0,0,1,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,2,31,12,43,0,0,0,0
whrhwhdoo,42,1,2,0,0,0,3,2,0,0,3,0,8,0,3,0,3,9,2,37,0,2,0,11,0,3,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,41,0,41,0,0,0,0
뚝딱64,16,16,6,0,0,2,11,0,0,0,7,3,13,11,0,1,0,24,9,35,0,21,0,9,9,0,44,0,2,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,6,40,9,46,1,2,0,0
잡덕수집가,0,0,27,3,0,16,2,4,0,0,1,0,0,2,0,0,0,3,5,25,0,2,0,0,1,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,150,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,10,46,3,44,2,0,3,0
연마백,32,10,0,2,0,4,4,2,0,0,2,0,2,12,0,4,4,12,0,28,4,10,2,2,4,0,34,0,0,2,4,10,0,0,14,0,0,28,0,0,0,0,0,0,0,0,4,0,0,0,2,2,2,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,10,44,2,42,4,0,0,0
전국적인 먹짱,18,6,6,3,0,9,11,0,0,0,0,0,6,3,3,0,3,0,3,38,3,12,0,6,9,3,6,5,0,9,0,9,0,0,14,12,0,27,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,12,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,0,47,0,47,0,0,0,0
밤 새 피어난 비,0,0,0,48,0,0,2,0,0,0,6,2,8,2,0,4,4,2,4,20,2,6,0,6,10,0,20,4,0,4,0,2,0,0,2,2,0,8,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,16,0,16,0,0,0,0
