index,가게명,음식종류,음식이 맛있어요,가성비가 좋아요,혼밥하기 좋아요,친절해요,양이 많아요,재료가 신선해요,특별한 메뉴가 있어요,매장이 넓어요,매장이 청결해요,인테리어가 멋져요,특별한 날 가기 좋아요,단체모임 하기 좋아요,메뉴 구성이 알차요,아늑해요,음식이 빨리 나와요,주차하기 편해요,화장실이 깨끗해요,뷰가 좋아요,음료가 맛있어요,아이와 가기 좋아요,잡내가 적어요,반려동물과 가기 좋아요,룸이 잘 되어있어요,오래 머무르기 좋아요,환기가 잘 돼요,차분한 분위기에요,코스요리가 알차요,비싼 만큼 가치있어요,반찬이 잘 나와요,대화하기 좋아요,건강한 맛이에요,음악이 좋아요,좌석이 편해요,사진이 잘 나와요,현지 맛에 가까워요,고기 질이 좋아요,샐러드바가 잘 되어있어요,혼술하기 좋아요,향신료가 강하지 않아요,야외공간이 멋져요,컨셉이 독특해요,포장이 깔끔해요,술이 다양해요,직접 잘 구워줘요,커피가 맛있어요,디저트가 맛있어요,기본 안주가 좋아요,집중하기 좋아요,빵이 맛있어요,태그 총합,FoodCategory
0,육쌈냉면 숙대점,냉면,419,165,125,64,64,44,32,29,17,9,6,6,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,한식
1,장재근초밥,"초밥,롤",96,24,16,40,13,56,21,3,26,2,10,8,2,0,0,3,4,0,0,0,0,0,2,0,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,일식
2,면식당 숙명여대점,일식당,373,126,188,128,151,153,68,157,131,96,0,9,48,11,14,0,10,1,0,2,3,0,0,1,0,9,0,1,7,11,5,5,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3450,일식
3,포라임 숙대본점,베트남음식,869,307,419,328,276,327,36,128,178,76,3,23,85,33,23,2,10,16,0,4,0,0,1,1,0,10,0,0,0,0,21,0,7,0,67,0,0,0,22,1,0,0,0,0,0,0,0,0,0,6552,아시안음식
4,베스트프렌드,종합분식,91,21,1,35,12,10,14,8,6,38,3,3,0,3,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,514,분식
5,달볶이,달볶이,330,179,128,119,121,35,22,1,16,4,3,1,6,5,10,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1986,분식
6,포36거리 숙대점,베트남음식,254,103,65,142,89,57,35,4,24,4,1,3,3,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1610,아시안음식
7,사이공마켓 숙대점,베트남음식,130,38,31,47,29,25,13,3,5,26,2,1,0,4,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,762,아시안음식
8,빨봉분식 숙명여대점,분식,206,90,65,99,79,31,28,25,47,7,2,4,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1400,분식
9,아리랑노점 숙대점,"도시락,컵밥",165,139,116,87,61,40,26,1,14,1,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348,한식
10,버스컵떡볶이,떡볶이,93,40,49,28,9,13,22,6,11,4,0,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,분식
15,샐러디 숙명여대점,"다이어트,샐러드",171,61,75,27,22,136,28,1,29,5,0,0,8,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,샐러드
16,네코노스시,"초밥,롤",369,241,159,132,194,177,88,12,49,121,11,9,55,30,1,1,2,4,1,0,0,0,0,0,0,2,1,0,3,5,4,0,1,2,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,3420,일식
17,마포구이마당 숙대직영점,돼지고기구이,145,65,25,61,44,14,14,38,13,2,2,25,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,0,0,1008,육류
18,정,중식당,640,117,68,186,98,123,217,49,49,13,23,51,4,2,13,3,7,3,1,1,1,0,0,0,0,3,0,1,0,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,3404,중식
19,지지고 숙명여대점,"도시락,컵밥",403,296,193,74,202,84,64,1,14,1,2,2,4,1,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2748,한식
