store_name,pn_test,text_review,대기 시간,예약 없이 이용,포장·배달 이용,일상,혼자,친목,친구,나들이,아이,지인・동료,연인・배우자,데이트,부모님,예약 후 이용,여행,비즈니스,친척・형제,반려동물,기념일,대기 시간 10분 이내 ,가족모임,기타,대기 시간 바로 입장,음료가 맛있어요,가성비가 좋아요,인테리어가 멋져요,특별한 메뉴가 있어요,메뉴 구성이 알차요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,대화하기 좋아요,친절해요,매장이 청결해요,아늑해요,음식이 빨리 나와요,포장이 깔끔해요,음식이 맛있어요,빵이 맛있어요,좌석이 편해요,재료가 신선해요,반려동물과 가기 좋아요,차분한 분위기에요,집중하기 좋아요,선물하기 좋아요,매장이 넓어요,오래 머무르기 좋아요,건강한 맛이에요,화장실이 깨끗해요,뷰가 좋아요,야외공간이 멋져요,비싼 만큼 가치있어요,종류가 다양해요,음악이 좋아요,양이 많아요,룸이 잘 되어있어요,특별한 날 가기 좋아요,차가 맛있어요,컨셉이 독특해요
컴포즈커피 숙명여대점,FALSE,쿠키밀크쉐이크….얼음이 고루 갈려서 더 맛있어요…,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,TRUE,아이스크림 양 피드백 된 거 맞아요? 알바생들 하나같이 진심 쥐똥만큼 주는데 말로만 교육했다 하시지 말고 제대로 좀 해주세요 황당해서 말이 안나오는 양이예요;; 저 뿐만 아니라 한 둘도 아닌 것 같은데 3500원씩이나 내고 ㅋㅋ;;,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,TRUE,이거 맞나요..? 이게 4500…? 한입에 500원은 하겠는데요. 직원분이 아직 미숙하신건지 원래 이렇게 주시는건지 너무 궁금하네요.,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,FALSE,팥절미 너무 맛있는 것! •w•,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,TRUE,"왜 매장컵인데 일회용품인가요?매장안 이용손님이 모두다 같은  플라스틱컵이네요...카라멜 서비스보다 이게 더 중요하다고 생각합니다.키오스크에 매장에서 먹을게요,매장컵이라고 두번이나 선택했는데 이럴거면 옵션이 뭐하러 있나요?추가로...같은 아이스크림인데 다른분이랑 저랑 받은게 양차이 모양차이 너무 심합니다.이건 기울어져서 그런거 아니라 아이스크림 양 줄이고 빨리 높이 올리려고만해서 중심 안맞아서 무너진게 맞습니다.(저도 소프트아이스크림 파는일 해봐서 압니다.제꺼는 3바퀴에 위로 쭉 뺐고 오른쪽은 위로 올라가는 것도 작게 2바퀴 돌렸구요.)직원분 숙련도라해도 모양이 이러면 먹기 싫어집니다...그리고 직원분 혼자서 너무 힘들어보여요.전에 2명일때도 전쟁같은데 지금은 더욱이..개선 바랍니다.",0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,FALSE,아이스크림 맛있어용,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,FALSE,친절하십니다,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,FALSE,젤리까지 챙겨주시네요~,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,FALSE,맛있어용!,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
컴포즈커피 숙명여대점,FALSE,사장님 너무 친절하시고 아이스크림도 커피도 너무 맛있어요!!,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
